Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory
1,967.0636,90.1431,898,312.9229
2,713.2805,91.5971,801,305.5693
3,757.1965,91.0641,812,307.7065
4,833.5042,91.4491,785,310.1324
5,914.1969,91.3984,780,312.1311
6,1008.3866,91.2028,804,319.8577
7,1022.2722,90.6023,881,312.3849
8,815.3044,91.198,823,309.8437
9,752.7458,91.2955,808,307.7318
10,929.8679,90.9704,852,316.999
11,626.5802,91.4919,829,305.0822
12,594.8362,92.1404,769,304.5701
13,804.9878,91.3998,834,305.2571
14,744.9575,91.0751,849,307.9497
15,914.8314,90.6878,842,314.7966
16,644.21,91.6756,791,307.5863
17,887.0223,91.2186,855,315.2697
18,711.0932,91.5122,802,305.3892
19,821.7486,90.9451,873,308.8466
20,960.9514,91.0791,814,315.136
21,849.8761,90.9381,862,308.2895
22,716.5385,91.8915,755,307.2068
23,983.6373,90.0696,913,312.3669
24,914.4081,90.871,863,311.3259
25,833.0904,91.6289,783,308.1707
26,841.1563,91.4554,799,311.3603
27,911.5638,91.1224,814,317.4345
28,967.2537,90.874,820,317.2352
29,907.2705,91.5351,829,315.1741
30,823.259,90.958,853,311.338
31,610.1703,91.7653,781,301.4961
32,947.8166,90.9283,833,312.7531
33,847.6575,91.1515,817,307.912
34,914.7747,91.9067,766,312.1183
35,845.055,91.2967,804,313.8777
36,932.5079,90.5415,892,311.1937
37,686.7578,91.9378,774,306.7047
38,661.3389,91.6558,814,304.6828
39,937.7158,90.7293,864,308.5065
40,798.2087,91.387,806,314.6656
41,961.6082,90.0128,933,309.2715
42,832.6068,91.287,814,307.16
43,802.4533,91.453,801,311.6909
44,745.0212,91.3617,803,307.3317
45,768.9156,91.1818,832,310.3407
46,677.8733,91.7798,794,306.5526
47,775.9768,91.4263,790,311.1526
48,1031.7598,90.0539,911,316.677
49,815.4402,91.5689,808,314.5423
50,914.2081,90.9223,873,309.3834
51,649.031,91.5461,818,309.2877
52,644.9717,91.7517,773,306.3976
53,959.2819,91.4751,782,315.7507
54,661.4586,91.9766,786,307.3157
55,806.0715,91.4944,809,305.9207
56,716.4012,92.0123,768,308.4094
57,782.465,91.9875,764,312.135
58,798.4618,91.1107,857,305.3601
59,750.2621,91.1904,840,309.1611
60,892.586,90.8598,824,309.8949
61,884.9901,90.957,843,317.1938
62,792.5524,90.9678,854,311.0064
63,942.9565,91.1412,819,319.0514
64,781.7981,90.9899,856,305.9483
65,958.9936,92.0105,776,312.6931
66,806.3883,91.2161,854,310.4939
67,736.0207,91.5484,800,309.4471
68,706.2838,91.1329,853,304.7483
69,904.2221,90.4391,898,308.8713
70,902.0364,90.6988,861,309.7454
71,977.5579,90.991,825,316.7912
72,725.1565,91.855,762,310.6801
73,863.2679,89.5859,946,308.3599
74,1073.8469,90.3862,876,313.4434
75,824.4335,91.0038,841,305.2737
76,809.924,91.9267,762,314.1814
77,823.076,91.279,820,310.9501
78,925.3923,90.9567,835,314.8617
79,721.3353,91.9751,767,304.9995
80,982.8364,91.4519,800,320.6347
81,843.4436,90.8966,850,312.1685
82,641.2771,91.8112,799,306.8776
83,916.0845,90.8441,866,313.5908
84,815.9004,91.3388,832,308.147
85,980.6369,91.0011,808,314.8039
86,823.2396,91.7915,772,315.9895
87,883.5197,91.6956,762,313.8997
88,949.6194,91.2969,793,318.6253
89,1005.0788,90.8385,857,315.6642
90,834.9919,91.0697,821,311.5716
91,853.777,90.8461,845,309.9036
92,868.0667,91.1547,809,307.8358
93,898.6325,90.0423,914,311.6996
94,909.9323,91.0391,840,314.1024
95,939.5655,91.4521,806,318.1694
96,800.4134,90.6903,863,308.8703
97,1006.4034,90.2439,901,312.6337
98,817.8279,90.4087,902,306.8502
99,972.7699,91.0083,815,319.7118
100,889.5363,90.7737,857,312.2007
