Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1," 104,895 ",90.3351,393,101.9239,55684.1274," 36,582 ",12629.4039
2," 101,071 ",89.2856,412,94.0975,48791.1097," 38,566 ",13714.7553
3," 77,420 ",90.3232,398,90.4095,45775.2909," 19,028 ",12617.2825
4," 82,921 ",90.698,369,91.3337,46064.7201," 24,789 ",12067.041
5," 87,183 ",91.1432,359,95.6335,51179.6479," 24,118 ",11885.5277
6," 99,100 ",90.1716,387,96.3422,50785.4991," 35,146 ",13168.9634
7," 82,825 ",90.2856,380,90.0692,45708.8621," 25,028 ",12087.58
8," 93,409 ",90.5975,373,100.7322,52911.7163," 29,054 ",11443.5415
9," 89,511 ",91.0778,377,96.7912,50301.5747," 26,067 ",13142.4742
10," 73,440 ",92.2769,336,93.1627,47058.8023," 14,395 ",11986.3033
11,79921.1795,91.2386,350,95.2354,49308.2511,19286.5289,11326.3995
12,119242.6391,89.4218,390,105.7167,61365.4477,45742.9948,12134.1966
13,88972.5518,90.0126,395,95.5038,50192.9323,26344.9812,12434.6383
14,90090.6286,90.8007,386,97.2685,52102.9242,26255.531,11732.1734
15,101594.0393,90.4392,375,101.5234,54555.3742,35356.0662,11682.5989
16,100385.3647,89.5616,414,100.1903,55447.4454,32927.1827,12010.7366
17,92631.7003,89.9537,404,99.8119,54661.9841,26285.9509,11683.7653
18,83478.8215,90.253,395,97.3918,51979.5988,19589.502,11909.7207
19,82320.3009,89.7698,414,90.334,44770.7468,24388.0346,13161.5194
20,125899.8514,89.4724,390,106.4232,62991.9277,50038.59,12869.3337
21,114515.1557,89.3385,408,105.859,58536.9682,43805.7906,12172.3969
22,92343.2322,90.2356,391,99.1007,54649.2722,26101.8759,11592.0841
23,76251.9632,91.5173,361,93.0587,47727.9492,17055.3547,11468.6592
24,100506.3631,89.7007,413,100.5758,54591.5098,34189.0738,11725.7795
25,87911.1855,91.0086,353,96.3444,50773.5117,24331.6145,12806.0593
26,79585.084,90.6277,358,95.1502,50174.6577,18746.1921,10664.2341
27,82458.5037,90.6075,382,95.0303,49640.4874,20753.912,12064.1043
28,85556.5665,91.3814,352,97.6756,51316.2256,22241.3092,11999.0317
29,73108.9433,91.0324,358,92.7052,46744.634,14556.2214,11808.0879
30,97813.6241,90.5485,368,98.8495,53598.7846,31832.746,12382.0935
