Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,314605.0677,89.4254,343,106.0834,43293.0338,32133.2868,239178.747
2,304142.2784,90.7857,288,107.1092,42972.3842,32578.6406,228591.2537
3,296398.3403,88.8253,340,113.5953,48951.8073,36829.3529,210617.1801
4,285546.04,90.4005,313,112.7645,47020.9768,29642.6055,208882.4577
5,297618.28,89.9829,308,108.2518,46141.4228,28122.8978,223353.9594
6,227203.6903,93.4554,250,99.5414,37133.2152,2022.7344,188047.7407
7,250316.3925,91.8026,284,103.7729,40497.7774,11668.9613,198149.6537
8,274811.1933,90.937,286,109.0339,45311.7169,24922.3245,204577.1519
9,274362.2742,90.0976,305,102.6902,42568.2145,15556.5331,216237.5266
10,242492.3027,91.5982,275,107.3211,43643.2214,20778.1586,178070.9227
