Episode_Index,Episode_Seed,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,100,95365.0136,62.4446,1346,1053.3618,48718.4052,21372.3397,25274.2686
2,101,96741.3512,64.2201,1266,1051.5926,48860.8017,21427.5506,26452.9989
3,102,95005.175,63.7081,1289,1054.1899,49229.6427,19537.026,26238.5063
4,103,96017.4684,63.219,1324,1046.8239,48138.0708,21564.6127,26314.785
5,104,93428.8519,63.3315,1299,1050.5338,48428.6073,19915.5011,25084.7434
6,105,98524.6582,63.1708,1294,1057.7065,49229.5716,20809.0753,28486.0113
7,106,96318.3381,62.0372,1354,1048.4558,48362.9575,21724.9517,26230.4289
8,107,99461.3807,64.0938,1289,1053.5137,49244.235,22515.8906,27701.255
9,108,96926.9183,63.635,1289,1057.1325,49234.6192,20930.3023,26761.9967
10,109,97685.868,60.5045,1421,1049.7029,48146.2953,22252.7089,27286.8637
11,110,93210.3218,65.0101,1243,1052.1338,49141.7613,19694.9658,24373.5947
12,111,97232.1786,62.6119,1326,1057.307,50065.9149,20655.7227,26510.541
13,112,95112.7212,63.0932,1321,1052.5502,48418.4594,21683.8002,25010.4616
14,113,95910.1094,61.8118,1372,1048.3527,48095.0698,22677.553,25137.4866
15,114,94793.4775,62.763,1308,1050.309,49017.0926,21314.8443,24461.5406
16,115,93564.3483,64.5429,1261,1051.7849,48634.1138,18943.0593,25987.1752
17,116,93589.313,62.2379,1361,1049.9091,47844.9525,21564.2632,24180.0973
18,117,93355.1776,64.213,1282,1048.9855,48240.4932,21143.6164,23971.068
19,118,93633.2855,64.906,1239,1053.6742,48671.2566,19281.0303,25680.9986
20,119,97695.5279,63.9971,1286,1053.345,48986.5441,22088.0169,26620.967
