Episode,Episode_Reward,w_shape_value
0,-8907.1392,0.910000
1,-8880.8980,0.828100
2,-8700.5770,0.753571
3,-8754.5380,0.685750
4,-8749.7843,0.624032
5,-8774.8350,0.567869
6,-8755.1211,0.516761
7,-8570.2391,0.470253
8,-8440.0745,0.427930
9,-8175.6421,0.389416
10,-8087.0104,0.354369
11,-7765.6226,0.322475
12,-7427.3728,0.293453
13,-6983.1034,0.267042
14,-6685.7017,0.243008
15,-6046.2962,0.221137
16,-6262.2574,0.201235
17,-6133.7167,0.183124
18,-5993.4286,0.166643
19,-5822.8711,0.151645
20,-5694.5751,0.137997
21,-5877.0270,0.125577
22,-5681.9285,0.114275
23,-5440.1889,0.103990
24,-5483.5033,0.094631
25,-5169.3918,0.086114
26,-5332.5106,0.078364
27,-5264.3475,0.071311
28,-5257.8768,0.064893
29,-5303.0314,0.059053
30,-5251.7221,0.053738
31,-5083.0525,0.048902
32,-5122.2551,0.044501
33,-5002.1929,0.040496
34,-4905.9223,0.036851
35,-5044.2995,0.033534
36,-4838.7227,0.030516
37,-4987.7349,0.027770
38,-4870.7220,0.025271
39,-4884.4650,0.022996
40,-4897.5196,0.020927
41,-4895.7127,0.019043
42,-4848.2316,0.017329
43,-4809.8083,0.015770
