episode,steps,total_episode_reward
0,1460,-8950.2090
1,2920,-8809.1416
2,4380,-8654.2227
3,5840,-8614.6572
4,7300,-8447.9258
5,8760,-8158.3398
6,10220,-7937.9683
7,11680,-7767.3149
8,13140,-7675.0239
9,14600,-7514.3438
10,16060,-7132.3716
11,17520,-6880.8569
12,18980,-6546.0503
13,20440,-6061.7822
14,21900,-5732.9941
15,23360,-5676.6475
16,24820,-5624.7759
17,26280,-5477.2881
18,27740,-5450.2036
19,29200,-5185.4619
20,30660,-5374.9800
21,32120,-5240.7246
22,33580,-5183.4819
23,35040,-5152.0425
24,36500,-5110.2139
