episode,steps,total_episode_reward
0,1460,-8942.2344
1,2920,-8829.4180
2,4380,-8718.6494
3,5840,-8723.6816
4,7300,-8528.2861
5,8760,-8309.2061
6,10220,-8138.4683
7,11680,-7925.7017
8,13140,-7778.1187
9,14600,-7611.1084
10,16060,-7171.5391
11,17520,-6958.9199
12,18980,-6657.4668
13,20440,-6138.3755
14,21900,-5991.1479
15,23360,-5902.6221
16,24820,-5674.0918
17,26280,-5433.1670
18,27740,-5465.0254
19,29200,-5253.2891
20,30660,-5408.5083
21,32120,-5380.1704
22,33580,-5248.5264
23,35040,-5194.3442
24,36500,-5136.5039
