episode,steps,total_episode_reward
0,1460,-7994.3467
1,2920,-7915.8813
2,4380,-7744.2944
3,5840,-7798.0303
4,7300,-7794.1865
5,8760,-7786.5684
6,10220,-7772.4404
7,11680,-7540.7617
8,13140,-7343.6611
9,14600,-7106.7979
10,16060,-6922.1729
11,17520,-6509.8267
12,18980,-6424.3721
13,20440,-6128.7002
14,21900,-5656.1865
15,23360,-4965.9131
16,24820,-4976.2041
17,26280,-4743.1592
18,27740,-4803.1943
19,29200,-4696.3921
20,30660,-4481.7217
21,32120,-4426.6206
22,33580,-4334.7988
23,35040,-4148.4688
24,36500,-4069.0435
25,37960,-4115.1558
26,39420,-4115.5635
27,40880,-4086.5303
28,42340,-4206.9795
