episode,steps,total_episode_reward
0,3650,-7965.3125
1,7300,-6127.7383
2,10950,-5956.4160
3,14600,-6045.3940
4,18250,-6030.2715
5,21900,-6061.9956
6,25550,-5981.6826
7,29200,-5955.1846
8,32850,-6023.1841
9,36500,-5956.8872
10,40150,-5996.7939
11,43800,-5952.6138
12,47450,-6024.9692
13,51100,-6001.3345
14,54750,-6034.3247
15,58400,-6026.0005
16,62050,-6051.1821
17,65700,-6076.9419
18,69350,-6044.1763
19,73000,-6016.6792
20,76650,-6015.5815
21,80300,-6013.7612
22,83950,-6047.1919
23,87600,-6021.8975
24,91250,-6070.2310
25,94900,-6095.7886
26,98550,-6060.6562
27,102200,-6084.6572
28,105850,-5989.3931
29,109500,-5981.9424
30,113150,-6050.4146
31,116800,-5920.8872
32,120450,-6036.2847
33,124100,-6076.1050
34,127750,-6051.3535
35,131400,-6114.9932
36,135050,-6026.0767
37,138700,-6083.2539
38,142350,-6053.7227
39,146000,-6039.8618
40,149650,-6095.8086
41,153300,-5971.0430
42,156950,-6053.9448
43,160600,-6079.6753
44,164250,-6043.2310
45,167900,-6019.6118
46,171550,-6002.1836
47,175200,-6015.5317
48,178850,-5985.1113
49,182500,-5982.9844
50,186150,-6065.9624
51,189800,-6106.9473
52,193450,-6038.9302
53,197100,-6042.9673
54,200750,-6098.9399
55,204400,-6015.5947
56,208050,-6062.5571
57,211700,-6010.7690
58,215350,-5982.9883
59,219000,-6050.9932
60,222650,-6025.2549
61,226300,-6018.7485
62,229950,-5977.3745
63,233600,-5961.5366
64,237250,-6075.8530
65,240900,-6073.4658
66,244550,-6035.3296
67,248200,-6044.2388
