episode,steps,total_episode_reward
0,1460,-8910.6592
1,2920,-8837.5137
2,4380,-8658.5645
3,5840,-8718.6807
4,7300,-8697.1719
5,8760,-8660.9131
6,10220,-8657.2871
7,11680,-8404.7939
8,13140,-8209.8467
9,14600,-7960.5708
10,16060,-7848.7759
11,17520,-7476.3467
12,18980,-7337.6729
13,20440,-7104.3779
14,21900,-6538.9790
15,23360,-6169.9937
16,24820,-6024.4028
17,26280,-5919.7671
18,27740,-5813.3750
19,29200,-5768.4097
20,30660,-5637.8677
21,32120,-5426.1641
22,33580,-5433.4844
23,35040,-5204.3149
24,36500,-5226.8218
25,37960,-5292.3906
26,39420,-5168.2134
27,40880,-5218.9116
28,42340,-5165.9746
29,43800,-5242.5195
30,45260,-5279.4106
31,46720,-5047.5010
32,48180,-5126.6162
33,49640,-4913.6851
34,51100,-4817.6494
35,52560,-4931.9263
36,54020,-4821.1133
37,55480,-4864.5444
38,56940,-4965.8550
39,58400,-4922.2490
40,59860,-4927.2827
41,61320,-4786.8975
42,62780,-4697.8916
43,64240,-4755.2910
44,65700,-4755.9468
45,67160,-4734.3828
46,68620,-4768.9771
47,70080,-4840.3872
48,71540,-4685.2373
49,73000,-4721.0723
50,74460,-4652.3472
51,75920,-4647.2710
52,77380,-4679.5698
53,78840,-4663.6304
54,80300,-4817.2852
55,81760,-4739.7930
56,83220,-4735.2676
57,84680,-4652.8511
58,86140,-4585.4019
59,87600,-4675.1899
60,89060,-4611.5664
61,90520,-4645.2207
62,91980,-4595.3472
63,93440,-4643.5420
64,94900,-4631.4697
65,96360,-4699.0229
66,97820,-4680.7637
67,99280,-4695.7012
68,100740,-4589.3232
69,102200,-4536.1001
70,103660,-4559.9219
71,105120,-4595.9492
72,106580,-4643.7998
73,108040,-4577.9375
74,109500,-4607.5981
75,110960,-4580.7646
76,112420,-4607.3755
77,113880,-4491.2637
78,115340,-4642.5815
79,116800,-4632.7119
80,118260,-4553.9458
81,119720,-4558.2388
82,121180,-4569.3364
83,122640,-4521.0708
84,124100,-4607.0083
85,125560,-4532.0298
86,127020,-4509.8501
87,128480,-4574.4878
88,129940,-4494.4399
89,131400,-4498.3877
90,132860,-4527.6997
91,134320,-4501.0591
92,135780,-4554.2788
93,137240,-4533.6938
94,138700,-4473.3657
95,140160,-4460.9219
96,141620,-4548.2705
97,143080,-4566.1978
98,144540,-4511.2095
99,146000,-4525.1880
100,147460,-4607.2334
101,148920,-4615.3828
102,150380,-4513.0200
103,151840,-4540.8433
104,153300,-4529.8457
105,154760,-4495.5342
106,156220,-4432.4229
107,157680,-4494.7676
108,159140,-4479.7007
109,160600,-4482.5244
110,162060,-4500.5361
111,163520,-4489.1748
112,164980,-4538.1602
113,166440,-4554.2188
114,167900,-4595.5537
115,169360,-4577.8906
116,170820,-4558.5156
117,172280,-4589.4795
118,173740,-4574.6050
119,175200,-4593.5620
120,176660,-4548.7959
121,178120,-4481.6030
122,179580,-4528.6895
123,181040,-4478.1084
124,182500,-4588.8350
125,183960,-4492.6504
126,185420,-4491.6938
127,186880,-4564.4756
128,188340,-4493.7998
129,189800,-4532.6289
130,191260,-4559.1108
131,192720,-4536.0000
132,194180,-4570.8486
133,195640,-4519.2632
134,197100,-4577.0547
135,198560,-4518.2681
136,200020,-4582.1660
137,201480,-4548.7676
138,202940,-4578.4019
139,204400,-4489.8799
140,205860,-4597.1958
141,207320,-4485.9229
142,208780,-4529.6606
143,210240,-4515.1724
144,211700,-4473.4370
145,213160,-4474.6040
146,214620,-4444.3398
147,216080,-4398.8008
148,217540,-4429.3896
149,219000,-4396.7422
150,220460,-4429.5034
151,221920,-4385.3594
152,223380,-4395.0615
153,224840,-4462.8677
154,226300,-4433.8823
155,227760,-4484.8081
156,229220,-4398.5679
157,230680,-4483.0498
158,232140,-4428.8022
159,233600,-4359.2324
160,235060,-4330.0200
161,236520,-4344.6753
162,237980,-4438.7192
163,239440,-4499.3076
164,240900,-4472.7988
165,242360,-4501.1631
166,243820,-4443.0352
167,245280,-4415.6323
168,246740,-4391.6987
169,248200,-4435.5620
170,249660,-4466.5957
171,251120,-4434.4321
172,252580,-4378.3657
173,254040,-4438.0830
174,255500,-4427.4326
175,256960,-4423.5913
176,258420,-4411.4014
177,259880,-4504.1865
178,261340,-4477.9946
179,262800,-4440.0933
180,264260,-4409.4360
