Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,40304.05,98.6107,44,124.8105,192.7198,100.0,33952.7977,102.1899,6249.0624
2,39560.7234,98.3105,53,125.2122,194.7378,100.0,33898.2751,114.5967,5547.8515
3,39862.4892,97.9702,64,124.1699,192.9989,100.0,33915.9494,799.0651,5147.4748
4,40018.1059,98.466,48,126.9805,183.9275,100.0,34441.9489,69.9516,5506.2054
5,40156.5934,97.9391,65,125.1306,199.3592,100.0,33912.4593,115.8094,6128.3247
6,39267.2327,98.3429,52,124.55,191.6119,100.0,33917.7646,86.9552,5262.5129
7,39714.2054,98.385,50,124.4438,191.8226,100.0,33919.3552,96.5783,5698.2719
8,39768.6443,98.3627,52,125.3418,196.5221,100.0,34041.7817,106.8607,5620.0019
9,39674.7474,98.0373,61,125.3413,187.5028,100.0,34163.2265,104.9675,5406.5534
10,40576.1339,98.3355,52,127.3974,187.2903,100.0,34658.5854,82.9526,5834.5959
