Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,201561.1901,90.2219,304,728.2607,62.7787,100.0,157305.6238,5230.6716,39024.8947
2,195209.0817,92.3618,239,726.0025,69.7384,100.0,153528.8464,3664.2471,38015.9882
3,198237.146,88.2504,366,729.5555,64.4899,100.0,155634.0009,7137.4674,35465.6776
4,197726.4855,90.8395,287,727.9391,62.3539,100.0,157441.1143,5562.62,34722.7512
5,197262.8581,90.5414,297,727.8524,63.4863,100.0,156600.6785,4209.5253,36452.6543
6,199266.3131,86.2595,432,723.6184,67.8653,100.0,153516.0821,10003.4331,35746.7978
7,195471.4356,88.5979,357,727.77,67.817,100.0,154071.758,7189.2372,34210.4403
8,200691.1354,89.8305,318,727.2436,65.019,100.0,155198.6178,7726.4964,37766.0212
9,202891.2149,86.2362,437,725.3615,66.2365,100.0,155190.3993,8971.768,38729.0476
10,193886.2588,89.4353,333,728.8457,67.8467,100.0,154111.0978,5998.6149,33776.5461
