Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,207013.3404,78.5462,667,742.036,92.7439,100.0,142035.0619,25896.4032,39081.8752
2,204124.9619,80.1534,621,738.8506,94.7553,100.0,141616.2467,24341.5822,38167.1329
3,202917.5299,79.2295,647,742.9917,91.9977,100.0,142373.8573,24791.9901,35751.6825
4,201520.1645,79.4446,644,740.2687,93.1052,100.0,141804.6709,24909.02,34806.4735
5,202201.5554,79.7771,635,740.7944,93.0758,100.0,141891.057,23668.5419,36641.9565
6,203814.1448,78.4987,676,734.4923,94.2558,100.0,141039.9517,26872.263,35901.9301
7,202634.6189,79.5273,641,740.6715,91.3761,100.0,142385.4513,25709.7479,34539.4197
8,206630.8522,79.2133,650,739.7522,91.6158,100.0,142076.1637,26575.1126,37979.5759
9,207822.8663,78.2677,690,736.4912,93.8602,100.0,141644.1898,27260.0896,38918.5868
10,199832.9119,79.7589,638,739.8406,93.668,100.0,141858.4529,23998.2912,33976.1678
