Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,40333.9455,95.8874,152,89.8664,345.7842,100.0,25794.4631,3828.2446,10711.2378
2,35589.7656,96.2517,137,87.1363,384.5941,100.0,24512.8071,510.5919,10566.3666
3,36438.3872,95.8425,151,91.6889,367.5555,100.0,25464.1813,866.667,10107.5389
4,37226.1423,95.8161,152,91.8973,354.0378,99.9259,25770.2757,822.2317,10633.6349
5,36045.8458,95.8743,151,89.486,377.4605,100.0,25012.1138,608.4904,10425.2416
6,36127.8274,96.3927,133,89.708,377.8802,100.0,25019.3923,464.4247,10644.0104
7,36394.1185,96.0854,143,88.9262,375.473,100.0,24977.7369,654.6215,10761.7602
8,37495.1651,95.9781,147,90.7778,369.268,100.0,25418.7662,1021.1275,11055.2714
9,36868.7032,95.9356,149,92.7706,369.5276,100.0,25633.7858,784.5456,10450.3718
10,37076.5223,96.1107,142,88.6575,364.0826,100.0,25279.663,1167.4592,10629.4001
