Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,185240.0345,64.0373,1313,658.6283,235.6082,87.9259,117676.8611,27820.7364,39742.437
2,183227.932,62.1472,1368,658.1348,250.6709,87.5556,116630.2179,27774.0527,38823.6614
3,185684.4111,64.092,1311,661.163,224.666,85.6296,118690.4595,30703.3817,36290.5699
4,180135.0234,67.4197,1197,657.6936,217.7224,89.7037,119001.4598,25594.1803,35539.3833
5,181521.6908,64.9439,1282,658.6626,214.606,86.2222,119009.6629,25264.7151,37247.3128
6,185865.182,63.3214,1334,654.8929,252.4998,90.6667,116000.213,33291.3962,36573.5728
7,186363.8921,61.9518,1388,661.0654,237.2413,86.2963,117802.8594,33540.953,35020.0797
8,188865.5183,64.4341,1301,659.5636,227.178,87.037,118220.444,32068.9699,38576.1044
9,192590.1052,63.6265,1336,657.8139,223.4538,89.7778,118447.9225,34583.9383,39558.2444
10,184310.742,62.671,1364,661.3655,241.6868,87.7037,117352.1939,32371.94,34586.608
