Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,215999.1661,49.4933,1844,678.9584,310.8062,72.8889,115302.7891,60753.11,39943.267
2,213403.3479,48.9762,1844,676.2962,310.5383,70.8889,114978.436,59418.8288,39006.083
3,211305.3389,49.9863,1826,679.8214,307.7353,73.1852,115545.7533,59137.4589,36622.1267
4,210755.9791,50.245,1828,677.321,306.4077,74.8148,115215.5504,59866.8125,35673.6163
5,211252.9734,48.8105,1872,678.31,306.8423,70.7407,115305.1614,58453.6973,37494.1148
6,213785.0306,49.3264,1843,671.8279,310.2615,74.2222,114406.1779,62610.0924,36768.7602
7,210425.2246,49.4243,1845,677.5448,302.3384,70.7407,115427.2062,59599.5686,35398.4497
8,214886.6767,50.328,1817,676.8269,304.9064,74.1481,115238.8679,60812.5641,38835.2447
9,216339.2727,49.0879,1870,673.2749,309.5243,69.8519,114665.0998,61900.4736,39773.6993
10,209388.6487,49.9179,1830,676.7551,310.9657,72.3704,115028.5332,59523.9079,34836.2076
