Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,38665.624,96.3864,107,115.4841,226.1799,100.0,31774.906,217.9122,6672.8057
2,39016.0255,96.7818,95,114.9508,224.8653,100.0,31740.7606,344.6589,6930.606
3,39298.2787,96.7452,94,118.2327,214.4171,100.0,32503.364,474.5176,6320.3972
4,39177.2453,96.7421,95,120.6369,212.8558,100.0,32795.5881,196.4129,6185.2444
5,38849.5701,97.257,81,118.2512,222.4357,100.0,32308.0216,126.9688,6414.5796
6,38028.2403,97.209,82,115.2316,221.0782,100.0,31869.6244,200.5039,5958.112
7,39087.4456,97.13,83,117.0685,219.3691,100.0,32167.5631,169.641,6750.2415
8,39161.9429,97.0304,86,120.0337,213.3303,100.0,32717.6648,256.9544,6187.3237
9,39109.4103,97.1144,84,118.8601,211.5307,100.0,32592.3749,154.9768,6362.0587
10,38912.2216,96.954,88,118.1816,213.9023,100.0,32594.823,150.5123,6166.8863
