Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,189150.5935,80.5584,564,715.3989,99.0195,100.0,140800.0456,9607.2767,38743.2712
2,184841.3926,80.8416,560,713.4031,107.3328,100.0,138535.7776,8493.8346,37811.7803
3,188306.2394,79.9169,580,718.0353,96.5178,100.0,141309.6321,11757.8945,35238.7127
4,186781.4726,83.0311,496,715.7933,92.8054,100.0,142887.912,9374.2885,34519.2721
5,185055.5223,81.0239,556,714.4719,97.4609,100.0,140986.7174,7829.7868,36239.0181
6,188774.9644,75.9347,708,710.883,105.5908,100.0,138368.3202,14861.9384,35544.7057
7,185800.6779,79.4854,598,716.0199,101.9398,100.0,139946.3568,11849.2607,34005.0604
8,192028.1755,81.3507,544,716.013,95.4854,100.0,141402.9799,13056.6008,37568.5948
9,193526.7877,77.8716,655,714.0442,97.3564,100.0,141244.391,13766.7382,38515.6585
10,185045.4628,78.2327,638,716.922,102.5465,100.0,139659.744,11814.9763,33570.7425
